gene_ID	HepG2	HepG2-215	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160072	334.507825411578	539.040862339653	364.598631249453	2.28325052710898	0.221668533020611	10.3002915930186	7.02480391423215e-25	1.01703318390322e-23
ENSG00000142611	0	0.507467180374784	4.11793419476397	-6.83100139721202	2.26459120282008	-3.01643907682121	0.00255762608118873	0.00681149435050209
ENSG00000157911	390.725385068858	303.087382490441	306.821941088885	0.397299235532042	0.197631208666535	2.01030615666784	0.04439879567852	0.0944296966501739
ENSG00000269896	6.7663542451003	14.5033744741526	9.31228282523015	-0.795573492938004	0.86945694874618	-0.915023445479709	0.360179321958618	0.574802489765671
ENSG00000228463	0	1.06136983841451	1.29590943902801	0.0931470538461202	2.51760035587231	0.0369983479025391	0.97048632302286	NA
ENSG00000142655	395.04963923549	170.44301260056	275.437384912021	0.417896875168957	0.186595167528716	2.23959109286496	0.0251174815009652	0.0562663876231446
ENSG00000235054	3.61669483117233	0	2.72763091778569	-0.969171654085816	2.46594065269752	-0.393023105817907	0.694302415797987	0.897984420533921
ENSG00000149527	0.969292491372023	2.71092164117155	1.21698408967831	0.919801018734924	2.70929938182228	0.339497740598998	0.734234798868159	NA
ENSG00000171621	203.095823428696	121.11897768863	527.331381516431	-2.96976145346809	0.188189212346892	-15.7807209904991	4.22336132740961e-56	1.91681673641223e-54
ENSG00000272235	0	6.7102045858056	3.88353455075638	0.613325779158912	1.97050739706224	0.31125271596204	0.755608510306874	0.933201853382417
ENSG00000142583	8.09374138403931	27.3936656596346	26.1800464479248	-2.17119900233294	0.568862686067164	-3.81673654382842	0.000135228428996826	0.000431439924849117
ENSG00000116786	6.10931584213908	827.867662908258	388.360122189258	0.0041125764070774	0.568927687520055	0.00722864521676567	0.994232425815207	1
ENSG00000173614	372.701441683086	30.4500972424316	215.694036526204	-0.421535392234236	0.266035574319659	-1.58450761072929	0.113078251092728	0.217229564752995
ENSG00000162592	0.401594953056146	2.1146355625876	2.33528489933143	-3.8740398204524	1.94122209297566	-1.99567058013129	0.0459697914071984	0.0975583350481606
ENSG00000204624	2.6387725141178	12.3387790475932	11.4608208853839	-2.1454979233574	0.929854376532512	-2.30734830905255	0.0210354104154967	0.04789721965568
ENSG00000142606	0	6.27940013227787	3.97310098300295	-0.183473985539256	1.9478689995826	-0.0941921584965785	0.924956513694245	0.997207563874538
ENSG00000171729	254.556437015303	381.116453532648	278.388296117886	2.56810249298951	0.221325503807667	11.6032831680402	3.96566671914771e-31	7.61002474836644e-30
ENSG00000279457	44.9806239528702	29.078552110322	36.5266142015759	0.888545269115675	0.450710769134659	1.97143119260637	0.0486745761119521	0.102717671648017
ENSG00000037637	241.839146398169	225.705642477157	309.691646859923	-0.894914093643423	0.183476017746066	-4.87755350610455	1.07409717435577e-06	4.37530378933983e-06
ENSG00000159423	507.68409358161	279.026851908706	543.942056712525	-1.30706168662583	0.182495487225284	-7.16215894704461	7.9416262232568e-13	5.60132914250378e-12
ENSG00000011021	251.597160465009	195.012424065722	218.094096439043	0.0038115590911501	0.200857665418493	0.0189764183667504	0.984859917439814	1
ENSG00000157916	949.698839847543	926.798476179757	902.076690798712	-0.119175672369387	0.137068195942161	-0.869462617131667	0.38459414660562	0.604618927433162
ENSG00000157881	262.16518097658	232.432941323683	261.264858530253	-0.0113389788217158	0.193585785064365	-0.0585734061927416	0.953291893088371	1
ENSG00000238290	0	4.27975865996084	2.11182024640362	0.179552872293323	2.22915111761818	0.0805476447398386	0.935801704280716	0.999749708703488
ENSG00000048707	87.8905241070151	436.141081899323	291.725478801748	-1.67390746770628	0.218276348058391	-7.668753314759	1.73676087534735e-14	1.37895139313584e-13
ENSG00000225196	0	1.99153735807561	0.981932111706267	0.160926357197328	2.91453799190216	0.0552150487125064	0.955967140086035	NA
ENSG00000162444	50.7032642396511	0.469135816951261	12.8814494230755	5.16849450548881	2.04529790173506	2.52701305814879	0.0115037225422016	0.0275671229289792
ENSG00000180758	57.3507900017867	121.745412491867	131.203380984277	-2.35796173784327	0.279036657460619	-8.45036547994075	2.9039232811364e-17	2.78765207843866e-16
ENSG00000184677	299.897495869407	563.147141420943	414.392686847755	0.595335202906918	0.174671187242953	3.40831943896308	0.000653643275012057	0.00190680151795744
ENSG00000288398	0	11.1983559621807	4.98149424079574	-1.16645929240509	1.940512760196	-0.601108797804178	0.547767523987326	0.78127830140588
ENSG00000224621	0	3.09123855991364	1.44397462781072	0.0137268608979702	2.41604011513454	0.0056815533864618	0.995466800660227	1
ENSG00000131697	181.362597382912	246.064258777938	161.932634049917	7.14533860678653	0.862199450272334	8.28733839314048	1.15810797166032e-16	1.06964671911608e-15
ENSG00000197921	0.447435512212332	2.85667065143801	1.62943306347441	1.35179449961061	2.29736438876045	0.588411009687486	0.556256449629783	0.788831628467871
ENSG00000233929	5.50080942907769	0	5.09247823452909	-1.4043706580566	1.99078320481754	-0.705436259788674	0.480538785541742	0.713387717833001
ENSG00000055070	2098.23928369216	1615.55206646231	1963.459951576	-0.229600618130269	0.104359933097357	-2.20008399120068	0.0278009364702404	0.0616899461231621
ENSG00000175087	27.688667269618	48.1323167840227	42.1495835747882	-1.14902998401673	0.482822734106287	-2.37981748341573	0.0173212149025151	0.0400854772960375
ENSG00000157191	507.966333219091	609.923235269101	585.678813023931	0.000312473828313585	0.142107692135138	0.00219885231839833	0.998245571097428	1
ENSG00000162511	3.59080535412482	15.2208959079114	135.948202225939	-7.83787948751767	0.651308594459226	-12.0340489196605	2.35330354146281e-33	4.93839482959013e-32
